message_id,source,source_url,date,topic,issue_area,message_type,wording,support_pct,oppose_pct,net_score,preference_effect,effect_scale,sample_size,methodology,population,moe,tags,notes
DFP_0104,Data for Progress,https://www.dataforprogress.org/blog/2026/4/14/maha-lacks-a-true-base-and-voters-reject-its-real-world-impact,2026-04-14,democracy,,tested_message,"Broadly, voters respond most favorably to candidates for public office who support removing harmful toxins from food (more likely to support this candidate by a +76-point margin), protecting federal funding for medical research (+69), and paid family and medical leave (+66).",,,,,,2350,online_panel,voters,,dfp;democracy,From: MAHA Lacks a True Base and Voters Reject Its Real-World Impact
DFP_0107,Data for Progress,https://www.dataforprogress.org/blog/2026/3/25/montgomery-county-democratic-primary-voters-back-housing-growth-and-walkable-communities,2026-03-25,housing,,tested_message,"By a +6-point margin, Montgomery County Democratic primary voters say they would be more likely to support a council member who backs a proposed housing development in their neighborhood.",,,,,,409,online_panel,voters,,dfp;housing,From: Montgomery County Democratic Primary Voters Back Housing Growth and Walkable Communities
DFP_0109,Data for Progress,https://www.dataforprogress.org/blog/2026/3/25/montgomery-county-democratic-primary-voters-back-housing-growth-and-walkable-communities,2026-03-25,housing,,tested_message,"Democratic primary voters under 45 back the pro-housing council member by a +50-point net margin, while voters 45 say they would be less likely to support such a council member by a net of −11.",,,,,,409,online_panel,voters,,dfp;housing,From: Montgomery County Democratic Primary Voters Back Housing Growth and Walkable Communities
DFP_20260319_0000,Data for Progress,https://www.dataforprogress.org/blog/2026/3/16/voters-disapprove-of-us-strikes-in-iran-and-a-plurality-think-israel-has-too-much-influence-over-us-foreign-policy,2026-03-19,foreign_policy,,tested_message,"Secretary of State Marco Rubio has said the U.S. had to launch the war against Iran now because Israel was going to attack Iran anyway, which would cause Iran to respond by attacking U.S. forces in the region.",,,,,,,,online_panel,voters,,dfp;foreign_policy
DFP_20260319_0001,Data for Progress,https://www.dataforprogress.org/blog/2026/3/16/voters-disapprove-of-us-strikes-in-iran-and-a-plurality-think-israel-has-too-much-influence-over-us-foreign-policy,2026-03-19,foreign_policy,,tested_message,even if that means reducing support for the military actions of Israel.,,,,,,,,online_panel,voters,,dfp;foreign_policy
DFP_0111,Data for Progress,https://www.dataforprogress.org/blog/2026/2/23/voters-think-trump-has-been-mostly-dishonest-about-epstein-and-find-attacks-against-the-epstein-class-convincing,2026-02-23,democracy,,tested_message,"By a +31-point margin, voters find Khanna’s statement that unites the “progressive left” and the “MAGA right” against the Epstein class convincing.",,,,,,1228,online_panel,voters,,dfp;democracy,From: Voters Think Trump Has Been Mostly Dishonest About Epstein — and Find Attacks Against the “Epstein Class” Convincing
DFP_0112,Data for Progress,https://www.dataforprogress.org/blog/2026/2/23/voters-think-trump-has-been-mostly-dishonest-about-epstein-and-find-attacks-against-the-epstein-class-convincing,2026-02-23,democracy,,tested_message,Voters also find Ossoff’s statement that specifically attacks Trump for protecting the “Epstein class” convincing by a +16-point margin.,,,,,,1228,online_panel,voters,,dfp;democracy,From: Voters Think Trump Has Been Mostly Dishonest About Epstein — and Find Attacks Against the “Epstein Class” Convincing
NAV_20260220_002,Navigator Research,https://navigatorresearch.org/message-guidance-on-tariff-scotus-ruling/,2026-02-20,economy,tariffs,tracking_poll,Oppose Trump tariff plan,,55,,,opposition,1000,online_panel,registered_voters,3.1,navigator;tariffs;trump_plan,"55% oppose Trump tariff plan. 38% support. 88% of Dems, 55% of Inds oppose."
NAV_20260205_001,Navigator Research,https://navigatorresearch.org/all-eyes-are-on-ice/,2026-02-05,immigration,ice_deployment,tracking_poll,Oppose the way Trump has deployed ICE,,59,,,opposition,1000,online_panel,registered_voters,3.1,navigator;immigration;ice;deployment,"All Eyes Are On ICE. Field: Jan 29 - Feb 1, 2026. 59% oppose ICE deployment."
DFP_20260121_0002,Data for Progress,https://www.dataforprogress.org/blog/2025/1/21/voters-want-new-federal-investment-in-housing-and-infrastructure-broadly-support-speeding-up-energy-approvals,2026-01-21,economy,,tested_message,developing new technologies that can support emerging industries,,,,,,,online_panel,voters,,dfp;economy,"From: Voters Want New Federal Investment in Housing and Infrastructure, Broadly Support Speeding Up Energy Approvals"
DFP_20251215_0003,Data for Progress,https://www.dataforprogress.org/blog/2025/12/15/voters-dont-think-bombing-boats-in-the-caribbean-or-removing-venezuelan-president-maduro-from-power-should-be-a-top-priority-for-trump,2025-12-15,foreign_policy,,tested_message,the U.S. government demonstrates that any actions taken in international waters comply with international law and treaty agreements.,,,,,,,,online_panel,voters,,dfp;foreign_policy
DFP_0116,Data for Progress,https://www.dataforprogress.org/blog/2025/11/17/hi-01-voters-are-largely-undecided-in-the-democratic-primary-narrowly-favor-ed-case,2025-11-17,democracy,,tested_message,"Finally, when asked generally which traits would make them more likely to vote for a Democratic candidate in a primary election, respondents most prefer candidates who will “stand up against Republicans and Trump” (+84) and “stand up to the U.S.",,,,,,366,online_panel,voters,,dfp;democracy,"From: HI-01 Voters Are Largely Undecided in the Democratic Primary, Narrowly Favor Ed Case"
DFP_20251117_0004,Data for Progress,https://www.dataforprogress.org/blog/2025/11/17/hi-01-voters-are-largely-undecided-in-the-democratic-primary-narrowly-favor-ed-case,2025-11-17,democracy,,tested_message,rejects corporate and lobbyist campaign contributions,,,,,,,online_panel,voters,,dfp;democracy,"From: HI-01 Voters Are Largely Undecided in the Democratic Primary, Narrowly Favor Ed Case"
NAV_20251030_002,Navigator Research,https://navigatorresearch.org/government-shutdown-week-4-message-guidance/,2025-10-30,economy,wasteful_spending,tracking_poll,Oppose White House ballroom project,,70,,,opposition,1000,online_panel,registered_voters,3.1,navigator;wasteful_spending;ballroom,70% oppose (59% strongly).
NAV_20251030_003,Navigator Research,https://navigatorresearch.org/government-shutdown-week-4-message-guidance/,2025-10-30,economy,tax_cuts,tracking_poll,Oppose new tax cuts for billionaires,,72,,,opposition,1000,online_panel,registered_voters,3.1,navigator;tax_cuts;billionaires,72% oppose (59% strongly).
NAV_20251030_004,Navigator Research,https://navigatorresearch.org/government-shutdown-week-4-message-guidance/,2025-10-30,foreign_policy,argentina_bailout,tracking_poll,Oppose bailing out Argentina economy,,76,,,opposition,1000,online_panel,registered_voters,3.1,navigator;argentina;bailout;wasteful_spending,76% oppose (57% strongly). Wedge issue within GOP (66% of Republicans oppose). 38% of independents most concerned.
