message_id,source,source_url,date,topic,issue_area,message_type,wording,support_pct,oppose_pct,net_score,preference_effect,effect_scale,sample_size,methodology,population,moe,tags,notes
NAV_20260507_001,Navigator Research,https://navigatorresearch.org/insurance-and-pharmaceutical-companies-blamed-for-rising-healthcare-costs/,2026-05-07,healthcare,,tracking_poll,"Americans blame health insurance companies for healthcare system issues",61,,,blame_question,,1000,online_panel,registered_voters,3.1,navigator;healthcare,From article: Insurance and Pharmaceutical Companies Blamed for Rising Healthcare Costs. Field: Apr 23-27 2026.,,
NAV_20260507_002,Navigator Research,https://navigatorresearch.org/insurance-and-pharmaceutical-companies-blamed-for-rising-healthcare-costs/,2026-05-07,healthcare,,tracking_poll,"Americans blame pharmaceutical companies for healthcare system issues",52,,,blame_question,,1000,online_panel,registered_voters,3.1,navigator;healthcare,From article: Insurance and Pharmaceutical Companies Blamed for Rising Healthcare Costs. Field: Apr 23-27 2026.,,
NAV_20260507_003,Navigator Research,https://navigatorresearch.org/insurance-and-pharmaceutical-companies-blamed-for-rising-healthcare-costs/,2026-05-07,healthcare,,tracking_poll,"Americans blame federal lawmakers for healthcare system issues",47,,,blame_question,,1000,online_panel,registered_voters,3.1,navigator;healthcare,From article: Insurance and Pharmaceutical Companies Blamed for Rising Healthcare Costs.,,
NAV_20260507_004,Navigator Research,https://navigatorresearch.org/insurance-and-pharmaceutical-companies-blamed-for-rising-healthcare-costs/,2026-05-07,healthcare,,tracking_poll,"Views on MAHA (Make America Healthy Again) - Favorable",39,40,-1,favorability,,1000,online_panel,registered_voters,3.1,navigator;healthcare,From article: Insurance and Pharmaceutical Companies Blamed for Rising Healthcare Costs. Down from +9 in Aug 2025.,,
NAV_20260507_005,Navigator Research,https://navigatorresearch.org/insurance-and-pharmaceutical-companies-blamed-for-rising-healthcare-costs/,2026-05-07,healthcare,,tracking_poll,"Rate availability/affordability of US healthcare as 'not so good' or 'poor'",59,,,rating,,1000,online_panel,registered_voters,3.1,navigator;healthcare,From article: Insurance and Pharmaceutical Companies Blamed for Rising Healthcare Costs.,,
NAV_20260507_006,Navigator Research,https://navigatorresearch.org/insurance-and-pharmaceutical-companies-blamed-for-rising-healthcare-costs/,2026-05-07,healthcare,,tracking_poll,"Not confident in ability to access quality affordable healthcare",30,,,confidence,,1000,online_panel,registered_voters,3.1,navigator;healthcare,Up from 23% in 2020.,,
NAV_20260507_007,Navigator Research,https://navigatorresearch.org/insurance-and-pharmaceutical-companies-blamed-for-rising-healthcare-costs/,2026-05-07,healthcare,,tracking_poll,"Want government to prioritize healthcare",39,,,priority,,1000,online_panel,registered_voters,3.1,navigator;healthcare,Only 14% think Trump/GOP focused on it.,,
NAV_20260429_001,Navigator Research,https://navigatorresearch.org/two-months-later-most-americans-dont-think-trumps-war-with-iran-is-worth-it-and-see-no-end-in-sight/,2026-04-29,foreign_policy,,tracking_poll,"Say the war with Iran is not worth it",50,,,opinion,,1000,online_panel,registered_voters,3.1,navigator;foreign_policy,From article: Two Months Later. Includes 54% of independents and 24% of Republicans.,,
NAV_20260429_002,Navigator Research,https://navigatorresearch.org/two-months-later-most-americans-dont-think-trumps-war-with-iran-is-worth-it-and-see-no-end-in-sight/,2026-04-29,foreign_policy,,tracking_poll,"Oppose U.S. military action against Iran",49,,,opposition,,1000,online_panel,registered_voters,3.1,navigator;foreign_policy,From article: Two Months Later. Includes 21% of Trump 2024 voters.,,
NAV_20260429_003,Navigator Research,https://navigatorresearch.org/two-months-later-most-americans-dont-think-trumps-war-with-iran-is-worth-it-and-see-no-end-in-sight/,2026-04-29,foreign_policy,,tracking_poll,"Disapprove of Trump's handling of foreign policy",58,,,approval,,1000,online_panel,registered_voters,3.1,navigator;foreign_policy,Net approval -21 (down from -6 in June 2025). 67% of independents.,,
NAV_20260429_004,Navigator Research,https://navigatorresearch.org/two-months-later-most-americans-dont-think-trumps-war-with-iran-is-worth-it-and-see-no-end-in-sight/,2026-04-29,foreign_policy,,tracking_poll,"Expect conflict with Iran to last months or longer",64,,,expectation,,1000,online_panel,registered_voters,3.1,navigator;foreign_policy,Up 11pts since March 2026. 38% say year+.,,
NAV_20260429_005,Navigator Research,https://navigatorresearch.org/two-months-later-most-americans-dont-think-trumps-war-with-iran-is-worth-it-and-see-no-end-in-sight/,2026-04-29,foreign_policy,,tracking_poll,"Worried U.S. will be bogged down in Iran conflict",70,,,concern,,1000,online_panel,registered_voters,3.1,navigator;foreign_policy,Includes 55% of Republicans.,,
NAV_20260429_006,Navigator Research,https://navigatorresearch.org/two-months-later-most-americans-dont-think-trumps-war-with-iran-is-worth-it-and-see-no-end-in-sight/,2026-04-29,foreign_policy,,tracking_poll,"Say Trump has no clear plan or timeline for the war",57,,,opinion,,1000,online_panel,registered_voters,3.1,navigator;foreign_policy,"Includes 58% of independents, 30% of Republicans.",,
NAV_20260428_001,Navigator Research,https://navigatorresearch.org/special-report-who-do-americans-trust/,2026-04-28,politics,,tracking_poll,"Trust Democratic Party more on health care",44,,,trust,,1000,online_panel,registered_voters,3.1,navigator;trust,Approx from chart. 19% trust neither.,,
NAV_20260428_002,Navigator Research,https://navigatorresearch.org/special-report-who-do-americans-trust/,2026-04-28,economy,,tracking_poll,"Trust Democratic Party more on inflation and cost of living",37,34,3,trust_comparison,,1000,online_panel,registered_voters,3.1,navigator;trust,"23% trust neither. 47% of independents trust neither.",,
NAV_20260428_003,Navigator Research,https://navigatorresearch.org/special-report-who-do-americans-trust/,2026-04-28,immigration,,tracking_poll,"Trust Republican Party more on immigration",42,,,trust,,1000,online_panel,registered_voters,3.1,navigator;trust,Down from 58% in Jan 2025. Administration low.,,
NAV_20260428_004,Navigator Research,https://navigatorresearch.org/special-report-who-do-americans-trust/,2026-04-28,politics,,tracking_poll,"Trust Republican Party more on getting things done",41,31,10,trust_comparison,,1000,online_panel,registered_voters,3.1,navigator;trust,23% trust neither.,,
NAV_20260428_005,Navigator Research,https://navigatorresearch.org/special-report-who-do-americans-trust/,2026-04-28,politics,,tracking_poll,"Trust Democratic Party more on 'looking out for people like me'",36,31,5,trust_comparison,,1000,online_panel,registered_voters,3.1,navigator;trust,23% trust neither. 7% don't know.,,
