message_id,source,source_url,date,topic,issue_area,message_type,wording,support_pct,oppose_pct,net_score,preference_effect,effect_scale,sample_size,methodology,population,moe,tags,notes
BLP_20260121_001,Blueprint Research,https://blueprint-research.com/polling/trump-economy-1-21/,2026-01-21,economy,affordability,negative,"Trump calls affordability a ""fake narrative"" or ""con job""",,,,27,net_concern,,online_panel,voters,,blueprint;trump;economy;affordability;concern,"Highest net concern. +12 Republicans, +33 independents."
BLP_20260121_002,Blueprint Research,https://blueprint-research.com/polling/trump-economy-1-21/,2026-01-21,economy,regional_disparity,negative,Bessent cites CEA study to suggest moving to red states,,,,27,net_concern,,online_panel,voters,,blueprint;trump;economy;bessent;red_states,"+27 overall, +27 independents net concern."
BLP_20260121_003,Blueprint Research,https://blueprint-research.com/polling/trump-economy-1-21/,2026-01-21,economy,affordability,negative,Trump says affordability is much better under his administration,,,,27,net_concern,,online_panel,independents,,blueprint;trump;economy;affordability;independents,+27 net concern among independents.
BLP_20251205_001,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,democracy,vision,vision,Fights—really fights—for all of us,,,,14,maxdiff,2572,online_panel,likely_voters,2.2,maxdiff;vision;fight;all_of_us,MaxDiff of 10 Democratic vision statements. #1 overall.
BLP_20251205_002,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,democracy,vision,vision,Make the fight to restore the American Dream the heart of our party,,,,12,maxdiff,2572,online_panel,likely_voters,2.2,maxdiff;vision;american_dream,MaxDiff of 10.
BLP_20251205_003,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,culture_war,anti_woke,vision,Anti-performative woke politics,,,,-11,maxdiff,2572,online_panel,likely_voters,2.2,maxdiff;anti_woke;worst,Worst performing message. -33 among Democrats.
BLP_20251205_004,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,economy,cost_of_living,vision,Laser-focus on making life affordable and expanding the social safety net,,,,17,maxdiff,2572,online_panel,likely_voters,2.2,blueprint;vision;affordability;safety_net,MaxDiff of 10 Democratic vision statements. Democrats' 2nd most preferred statement.
BLP_20251205_005,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,democracy,governance,vision,A government that is every bit as ambitious as our adversaries,,,,12,maxdiff,2572,online_panel,likely_voters,2.2,blueprint;vision;ambition;governance,MaxDiff of 10 Democratic vision statements. +12 among Democrats.
BLP_20251205_006,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,democracy,oligarchy,vision,A Democrat Party that fights—really fights—for all of us by calling out oligarchy and concentrated corporate power,,,-6,3,maxdiff,2572,online_panel,likely_voters,2.2,blueprint;vision;oligarchy,"MaxDiff of 10. +3 Democrats, -4 independents, -6 overall. | Expanded from summary label; original wording is a Blueprint survey category label"
BLP_20251205_007,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,economy,aspirational,vision,"""Get rich"" language with no named antagonist",,,-16,-16,maxdiff,2572,online_panel,likely_voters,2.2,blueprint;vision;worst;get_rich,Worst performing message. -33 among Democrats.
BLP_20251114_001,Blueprint Research,https://blueprint-research.com/polling/build-a-dem-workshop/,2025-11-14,politics,candidate_bio,positive,Working-class background (ideal Democrat bio trait),,,,8,preference_effect,3028,online_panel,voters,2.1,blueprint;candidate_bio;working_class,"Ideal Democrat bio traits. Working-class +8, Veteran +8, Middle-class +8."
BLP_20251114_002,Blueprint Research,https://blueprint-research.com/polling/build-a-dem-workshop/,2025-11-14,politics,candidate_bio,positive,"Guided by science, evidence, and facts",,,,7,preference_effect,3028,online_panel,voters,2.1,blueprint;candidate_bio;science,Ideal Democrat bio trait. +7 preference effect.
BLP_20251114_003,Blueprint Research,https://blueprint-research.com/polling/build-a-dem-workshop/,2025-11-14,economy,cost_of_living,positive,Bringing down prices of food and goods,,,,20,preference_effect,3028,online_panel,voters,2.1,blueprint;cost_of_living;food_prices,"+20 overall, +18 independents, +23 Democrats. Top issue priority."
BLP_20251114_004,Blueprint Research,https://blueprint-research.com/polling/build-a-dem-workshop/,2025-11-14,politics,candidate_bio,positive,"Perfect candidate combined: Working-class veteran guided by science and facts, created jobs in private sector, believes in finding common ground. Running on protecting SS/Medicare, bringing down prices, making healthcare affordable.",,,,35,combined_preference,3028,online_panel,voters,2.1,blueprint;candidate_bio;perfect_candidate,Combined preference effect of +35 for the perfect Democrat candidate.
BLP_20251114_005,Blueprint Research,https://blueprint-research.com/polling/build-a-dem-workshop/,2025-11-14,politics,candidate_bio,negative,"A background as a billionaire, which voters strongly dislike as a candidate biography trait",,,,-11,preference_effect,3028,online_panel,voters,2.1,blueprint;candidate_bio;billionaire;negative,"What hurts a Democrat candidate. -11 overall, -18 Democrats. | Expanded from summary label; original wording is a Blueprint survey category label"
BLP_20251114_007,Blueprint Research,https://blueprint-research.com/polling/build-a-dem-workshop/,2025-11-14,politics,candidate_bio,negative,"A background as a podcaster, which performs poorly as a candidate biography trait",,,,-9,preference_effect,3028,online_panel,voters,2.1,blueprint;candidate_bio;podcaster;negative,-9 preference effect. | Expanded from summary label; original wording is a Blueprint survey category label
BLP_20251110_001,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-11-10,democracy,authoritarianism,negative,Trump action: Firing BLS director over jobs data,50,59,,,authoritarian_perception,3028,online_panel,voters,2.1,blueprint;authoritarian;trump,"50% view as authoritarian, 59% oppose. 25 Trump actions tested."
BLP_20251110_002,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-11-10,democracy,authoritarianism,negative,Trump action: Deploying National Guard to cities,50,,,,authoritarian_perception,3028,online_panel,voters,2.1,blueprint;authoritarian;trump,50% view as authoritarian. 25 Trump actions tested.
BLP_20251110_003,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-11-10,democracy,authoritarianism,negative,Trump action: Firing Jan 6 prosecutors,49,60,,,authoritarian_perception,3028,online_panel,voters,2.1,blueprint;authoritarian;trump,"49% view as authoritarian, 60% oppose. 25 Trump actions tested."
BLP_20251110_004,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-11-10,democracy,authoritarianism,negative,Trump action: FBI raid on John Bolton,49,,,,authoritarian_perception,3028,online_panel,voters,2.1,blueprint;authoritarian;trump,49% view as authoritarian. 25 Trump actions tested.
BLP_20251110_005,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-11-10,democracy,authoritarianism,negative,Trump action: Masked ICE raids without badge or warrant,49,60,,,authoritarian_perception,3028,online_panel,voters,2.1,blueprint;authoritarian;trump,"49% view as authoritarian, 60% oppose. 25 Trump actions tested."
BLP_20251110_006,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-11-10,democracy,authoritarianism,negative,Trump action: FCC pulling NBC/ABC licenses,49,62,,,authoritarian_perception,3028,online_panel,voters,2.1,blueprint;authoritarian;trump,"49% view as authoritarian, 62% oppose. 25 Trump actions tested."
BLP_20251110_007,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-11-10,democracy,authoritarianism,negative,Trump action: DOGE/grant manipulation,48,,,,authoritarian_perception,3028,online_panel,voters,2.1,blueprint;authoritarian;trump,48% view as authoritarian. 25 Trump actions tested.
BLP_20251110_008,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-11-10,democracy,authoritarianism,negative,Trump action: Pardoning Jan 6 rioters and punishing investigators,48,60,,,authoritarian_perception,3028,online_panel,voters,2.1,blueprint;authoritarian;trump,"48% view as authoritarian, 60% oppose. 25 Trump actions tested."
BLP_20251110_009,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-11-10,democracy,authoritarianism,negative,Trump action: Threatening Chris Christie,48,62,,,authoritarian_perception,3028,online_panel,voters,2.1,blueprint;authoritarian;trump,"48% view as authoritarian, 62% oppose. 25 Trump actions tested."
